CMDLINE /opt/conda/bin/python dim_redu.py
MEM 2377.792969 1725503995.7862
MEM 2378.441406 1725503995.8865
MEM 2379.363281 1725503995.9867
MEM 2380.300781 1725503996.0868
MEM 2381.027344 1725503996.1870
MEM 2381.980469 1725503996.2871
MEM 2382.949219 1725503996.3873
MEM 2383.664062 1725503996.4874
MEM 2384.636719 1725503996.5876
MEM 2385.382812 1725503996.6878
MEM 2386.125000 1725503996.7879
MEM 2386.843750 1725503996.8880
MEM 2387.574219 1725503996.9882
MEM 2388.292969 1725503997.0883
MEM 2389.300781 1725503997.1885
MEM 2390.214844 1725503997.2886
MEM 2391.000000 1725503997.3888
MEM 2391.781250 1725503997.4889
MEM 2392.542969 1725503997.5891
MEM 2393.265625 1725503997.6892
MEM 2393.968750 1725503997.7894
MEM 2394.726562 1725503997.8895
MEM 2395.359375 1725503997.9897
MEM 2396.050781 1725503998.0900
MEM 2396.667969 1725503998.1902
MEM 2397.492188 1725503998.2903
MEM 2397.988281 1725503998.3905
MEM 2398.722656 1725503998.4906
MEM 2399.421875 1725503998.5908
MEM 2400.128906 1725503998.6910
MEM 2400.917969 1725503998.7911
MEM 2401.515625 1725503998.8913
MEM 2402.246094 1725503998.9914
MEM 2402.832031 1725503999.0915
MEM 2403.648438 1725503999.1917
MEM 2404.230469 1725503999.2919
MEM 2404.859375 1725503999.3921
MEM 2405.664062 1725503999.4922
MEM 2406.261719 1725503999.5924
MEM 2406.851562 1725503999.6925
MEM 2407.445312 1725503999.7927
MEM 2408.078125 1725503999.8928
MEM 2408.683594 1725503999.9929
MEM 2409.195312 1725504000.0931
MEM 2409.652344 1725504000.1932
MEM 2410.316406 1725504000.2935
MEM 2410.765625 1725504000.3938
MEM 2411.421875 1725504000.4940
MEM 2411.867188 1725504000.5943
MEM 2412.339844 1725504000.6945
MEM 2412.796875 1725504000.7949
MEM 2413.261719 1725504000.8951
MEM 2413.718750 1725504000.9953
MEM 2414.191406 1725504001.0955
MEM 2414.902344 1725504001.1957
MEM 2415.132812 1725504001.2961
MEM 2415.585938 1725504001.3964
MEM 2416.281250 1725504001.4967
MEM 2416.750000 1725504001.5971
MEM 2416.980469 1725504001.6975
MEM 2417.675781 1725504001.7978
MEM 2418.136719 1725504001.8981
MEM 2418.609375 1725504001.9984
